actual,predicted,error,brand,model,age
9290,11244.0,-1953.857421875,mitsubishi,Mitsubishi Space Star,5
19758,21791.0,-2032.576171875,nissan,Nissan Qashqai,5
8250,9078.0,-828.0947265625,mercedes-benz,Mercedes-Benz E 280,16
21490,22176.0,-685.919921875,mini,MINI Cooper,5
22900,23377.0,-477.072265625,mercedes-benz,Mercedes-Benz C 220,7
22990,28098.0,-5108.0859375,ford,Ford Kuga,5
39290,46314.0,-7024.3359375,hyundai,Hyundai TUCSON,1
67639,57631.0,10008.41796875,volkswagen,Volkswagen T6.1 Multivan,3
9300,13357.0,-4057.140625,ford,Ford Kuga,9
7200,6322.0,877.88916015625,opel,Opel Corsa,13
22490,14666.0,7824.48046875,ford,Ford Grand Tourneo,5
39990,35724.0,4265.7265625,bmw,BMW X3,4
14800,20594.0,-5794.177734375,citroen,Citroen C3 Aircross,5
1700,3322.0,-1621.964111328125,mercedes-benz,Mercedes-Benz C 200,20
29999,31987.0,-1988.025390625,mercedes-benz,Mercedes-Benz GLC 250,8
34070,35217.0,-1146.62890625,audi,Audi Q3,5
24900,21907.0,2992.748046875,toyota,Toyota Yaris,3
29480,28505.0,975.109375,kia,Kia ProCeed / pro_cee'd,5
4500,3990.0,509.58544921875,volkswagen,Volkswagen Golf,16
53500,50147.0,3353.07421875,volkswagen,Volkswagen T6 California,6
9490,11348.0,-1858.4677734375,hyundai,Hyundai i10,6
4500,8656.0,-4155.5791015625,mercedes-benz,Mercedes-Benz E 280,19
22500,27957.0,-5457.197265625,seat,SEAT Leon,8
28980,33645.0,-4664.6015625,bmw,BMW 750,8
16499,21838.0,-5339.126953125,fiat,Fiat Tipo,3
25930,28766.0,-2836.48828125,mazda,Mazda CX-5,5
39950,46103.0,-6153.421875,skoda,Skoda Octavia,2
34145,28414.0,5731.294921875,seat,SEAT Leon,1
17950,17261.0,689.177734375,honda,Honda CR-V,7
30990,30014.0,975.681640625,audi,Audi A5,6
14980,16034.0,-1053.6435546875,ford,Ford B-Max,7
32300,32607.0,-307.302734375,bmw,BMW 420,4
30999,34552.0,-3553.23828125,audi,Audi A8,12
6999,7475.0,-476.287109375,opel,Opel Insignia,12
5390,6781.0,-1390.56884765625,opel,Opel Astra,14
27990,18820.0,9170.462890625,volkswagen,Volkswagen Golf,6
4000,4993.0,-993.482421875,lancia,Lancia Delta,15
14999,17291.0,-2291.587890625,mercedes-benz,Mercedes-Benz E 200,12
20000,18005.0,1995.236328125,renault,Renault Kadjar,7
37900,33156.0,4744.43359375,ford,Ford Mustang,9
13990,14022.0,-31.6005859375,opel,Opel Crossland,5
5450,6259.0,-808.9140625,seat,SEAT Mii,10
2900,2462.0,438.497314453125,ford,Ford Fiesta,20
35000,27072.0,7927.71484375,citroen,Citroen Berlingo,2
15590,16622.0,-1031.80859375,ford,Ford Mondeo,8
2650,4264.0,-1614.44287109375,opel,Opel Astra,19
40990,41061.0,-71.28515625,jaguar,Jaguar F-Pace,5
16490,16894.0,-403.513671875,mercedes-benz,Mercedes-Benz C 180,11
20990,20915.0,75.287109375,kia,Kia Ceed / cee'd,2
18980,15213.0,3766.7880859375,seat,SEAT Leon,10
14490,15742.0,-1252.017578125,hyundai,Hyundai i20,6
14000,14734.0,-733.8701171875,opel,Opel Adam,6
17990,13569.0,4420.794921875,opel,Opel Astra,11
10980,14808.0,-3827.720703125,fiat,Fiat 500,6
17490,11206.0,6284.0712890625,mercedes-benz,Mercedes-Benz S 320,18
24000,29997.0,-5996.5078125,audi,Audi A6,9
3499,5360.0,-1861.28173828125,peugeot,Peugeot 107,12
52788,54704.0,-1915.92578125,volvo,Volvo XC60,2
9470,9091.0,378.71484375,skoda,Skoda Roomster,11
17895,19939.0,-2044.041015625,volkswagen,Volkswagen Golf Variant,7
17990,16825.0,1164.52734375,bmw,BMW 525,10
16870,19104.0,-2234.478515625,audi,Audi A3,10
34900,33308.0,1592.4765625,audi,Audi A3,3
9998,9925.0,73.1357421875,seat,SEAT Ibiza,7
9999,11148.0,-1149.4931640625,bmw,BMW X3,16
16950,21101.0,-4150.966796875,opel,Opel Astra,5
10990,10351.0,639.361328125,opel,Opel Insignia,11
16280,18476.0,-2195.572265625,mini,MINI Cooper S Countryman,8
3000,3953.0,-953.376953125,volkswagen,Volkswagen Touran,21
31500,42850.0,-11349.58984375,volkswagen,Volkswagen Tiguan,3
45000,26993.0,18006.52734375,mercedes-benz,Mercedes-Benz S 350,11
38850,35791.0,3058.96484375,land-rover,Land Rover Range Rover Evoque,4
14980,15233.0,-253.1201171875,opel,Opel Astra,6
134999,81951.0,53047.546875,bmw,BMW i8,6
27999,33028.0,-5029.36328125,mercedes-benz,Mercedes-Benz S 350,8
8490,5591.0,2898.98779296875,volkswagen,Volkswagen Golf,14
15490,16237.0,-747.087890625,opel,Opel Insignia,6
15900,16685.0,-784.52734375,volkswagen,Volkswagen Golf Sportsvan,7
33800,37059.0,-3258.6015625,mazda,Mazda CX-30,1
27780,28609.0,-828.595703125,citroen,Citroen Berlingo,1
62940,55693.0,7247.29296875,volkswagen,Volkswagen Crafter,1
3999,3293.0,705.625732421875,volkswagen,Volkswagen Polo,16
8990,8116.0,874.32958984375,toyota,Toyota iQ,12
39990,41949.0,-1959.39453125,fiat,Fiat Ducato,1
9990,10590.0,-600.19140625,opel,Opel Corsa,7
54990,46437.0,8552.984375,mazda,Mazda CX-60,1
15950,9291.0,6658.5498046875,saab,Saab 9-3,15
17990,20639.0,-2649.384765625,ford,Ford Mondeo,8
29900,24305.0,5595.306640625,land-rover,Land Rover Range Rover Evoque,8
6490,9448.0,-2957.87890625,mini,MINI Cooper SD,11
52980,55534.0,-2554.47265625,hyundai,Hyundai STARIA,1
65270,71139.0,-5869.40625,volkswagen,Volkswagen T6.1 California,1
24990,23137.0,1853.380859375,ford,Ford Puma,2
